S07LSAT8_Oil23_Water77_DWH10-3_.025mm_ASDHRa_AREF.txt,impervious,0.11645662,0.2007037,0.27219331,0.27273217,0.10377821,0.053227928
S07LSAT8_Oil23_Water77_DWH10-3_0.05mm_ASDHRa_AREF.txt,impervious,0.11770833,0.20568401,0.29671857,0.32922229,0.13336283,0.063650064
S07LSAT8_Oil23_Water77_DWH10-3_0.1_mm_ASDHRa_AREF.txt,impervious,0.12290785,0.21320322,0.31556964,0.37724596,0.1617879,0.07282038
S07LSAT8_Oil23_Water77_DWH10-3_0.5_mm_ASDHRa_AREF.txt,impervious,0.10686373,0.18899123,0.29424456,0.45893893,0.21524227,0.073603921
S07LSAT8_Oil23_Water77_DWH10-3_1.85mm_ASDHRa_AREF.txt,impervious,0.1284823,0.2131343,0.32654196,0.52379346,0.23304287,0.082857855
S07LSAT8_Oil23_Water77_DWH10-3_4_mm_ASDHRa_AREF.txt,impervious,0.10972606,0.1923117,0.3031067,0.49598953,0.2159576,0.075489931
S07LSAT8_Oil23_Water77_DWH10-3_8_mm_ASDHRa_AREF.txt,impervious,0.10591058,0.19308425,0.30963433,0.51034456,0.22411707,0.075840093
S07LSAT8_Oil40_Water60_DWH10-3_0.05mm_ASDHRa_AREF.txt,impervious,0.095628478,0.18700948,0.26328063,0.28817397,0.17733739,0.11928061
S07LSAT8_Oil40_Water60_DWH10-3_0.1_mm_ASDHRa_AREF.txt,impervious,0.084288336,0.17263481,0.2867296,0.39408299,0.26368916,0.15100209
S07LSAT8_Oil40_Water60_DWH10-3_0.5_mm_ASDHRa_AREF.txt,impervious,0.087203749,0.17583402,0.29617602,0.49249092,0.32605633,0.15328655
S07LSAT8_Oil40_Water60_DWH10-3_1.85mm_ASDHRa_AREF.txt,impervious,0.09362448,0.18182392,0.30876836,0.53872448,0.34298316,0.15637195
S07LSAT8_Oil40_Water60_DWH10-3_4_mm_ASDHRa_AREF.txt,impervious,0.11055005,0.19819641,0.32293957,0.54689986,0.35190535,0.16703072
S07LSAT8_Oil40_Water60_DWH10-3_8_mm_ASDHRa_AREF.txt,impervious,0.085568935,0.17427446,0.29992789,0.52729589,0.33171827,0.14907402
